k,strategy,dist_mean,dist_std,peak_mean,final_reward_mean
0.5,caatr,2.044139846477117,0.1842788276324566,0.41860986351966856,0.15661370307207106
0.5,fixed,2.0911884454950322,0.20087843338630362,0.4306765139102936,0.16802816689014435
0.5,greedy,1.8654108579821567,0.1995753517806886,0.43155419230461123,0.163498255610466
0.5,weighted,1.8433577705477304,0.13753242306969124,0.4315556585788727,0.1759358212351799
1.0,caatr,2.1989439206574404,0.16952557078925665,0.7760647535324097,0.18595399260520934
1.0,fixed,2.2298466038069096,0.24287861554881288,0.8303513169288635,0.2002457320690155
1.0,greedy,2.0685595638002203,0.14716999193269947,0.8650301098823547,0.20279470682144166
1.0,weighted,2.096913011032314,0.12935642567151578,0.8669612288475037,0.20177396535873413
1.5,caatr,2.085593956688348,0.342300452931311,1.1517733812332154,0.21852546334266662
1.5,fixed,2.2651341363817865,0.12256063934467394,1.2000842571258545,0.2389684110879898
1.5,greedy,2.1414722481880637,0.10058517312462152,1.311576819419861,0.23653571903705597
1.5,weighted,2.281003308302504,0.0911525106475018,1.311407446861267,0.24996839463710785
2.0,caatr,2.382882549682881,0.1930117906098339,1.4807481288909912,0.2869002729654312
2.0,fixed,2.226149049232707,0.1201128372136391,1.5660579204559326,0.2723147332668304
2.0,greedy,2.259876524625491,0.17247529823549615,1.7343610763549804,0.2848364382982254
2.0,weighted,2.098369346617665,0.20776985247677224,1.7393790006637573,0.2785921454429626
